Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (g),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (g),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (g),Sensor 3 Force (N)
17:02:38.986,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,73206.0000,2.8338,76440.8,8.0,0.078
17:02:40.656,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,73292.0000,2.8371,76239.1,8.0,0.079
17:02:42.326,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,76504.0000,3.0191,65612.3,9.9,0.097
17:02:44.001,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,77813.0000,3.0065,66305.7,9.8,0.096
17:02:45.671,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,77778.0000,3.0150,65835.0,9.9,0.097
17:02:47.341,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,77976.0000,3.0157,65801.0,9.9,0.097
17:02:49.014,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,78176.0000,3.0196,65586.9,9.9,0.097
17:02:50.684,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,77984.0000,3.0187,65635.6,9.9,0.097
17:02:52.354,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,78055.0000,3.0227,65415.6,10.0,0.098
17:02:54.025,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,78137.0000,3.0222,65441.0,10.0,0.098
